0,1,2,3,4,5,6
125,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
126,"2 DUO  1,80 GHZ",P5VD2-MX SE,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
127,"I7 - 3,60 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
128,"I5 - 2,90 GHZ",prime H410M-E,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
129,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
130,"I5 - 3,00 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
131,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
132,"I5 - 3,20 GHZ",H61M-S1,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
133,"I3 - 3,10 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
134,"I5 - 3,70 GHZ",H61M-S1,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
135,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
136,"I3 -  2,93 GHZ",dh55tc,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - LITE
137,"I5 - 3,00 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
138,"I5 - 3,00 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
139,"I3 - 3,70 GHZ",H81M-H,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
140,"I3 - 3,60 GHZ",H310CM-HDV,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
141,"I3 - 3,40 GHZ",H61M-S1,240 GB - SOLIDO,2 Gb,B,WINDOWS 10 - 64 BIT
142,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
144,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
145,"I3 - 3,30 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
147,"I3 - 3,70 GHZ",H81M-H,240 GB - SOLIDO,4 Gb,B,WINDOWS 8.1 - 64 BIT
148,"I5 - 3,00 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
149,"I7 - 3,60 GHZ",H110M-PRO-VH-PLUS MSI,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
151,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
152,"I3 - 3,60 GHZ",H310CM-HDV,250 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
153,"2 DUO  2,93 GHZ",G31M-ES2C,300 GB - MECANICO,2 Gb,M,WINDOWS 7 - 32 BIT
154,"I3 - 3,40 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
155,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
156,"I3 - 3,40 GHZ",IPPSB-SDQ/H61,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
157,"2 DUO  1,80 GHZ",P5VD2-MX SE,300 GB - MECANICO,2 Gb,M,WINDOWS 7 - 32 BIT
158,"I3 -  2,93 GHZ",dh55tc,240 GB - SOLIDO,2 Gb,B,WINDOWS 10 - LITE
159,"2 DUO  2,93 GHZ",G41M-ES2L,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
161,"I3 - 3,40 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
162,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
163,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
164,"I5 - 3,00 GHZ",H61M-S1,250 GB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
165,"I5 - 3,00 GHZ",H110M-H,240 GB - SOLIDO,8 Gb,EX,WINDOWS 8.1 - 64 BIT
166,"I5 - 3,00 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 8.1 - 64 BIT
167,"I3 -  2,93 GHZ",dh55tc,240 GB - SOLIDO,4 Gb,R,WINDOWS 10 - 64 BIT
168,"I3 - 2,50 GHZ",D02 (notebook bangho),500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
169,"I3 - 2,10 GHZ",D02 (notebook bangho),500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
170,DUO  3 GHZ,OPTIPLEX 380,240 GB - SOLIDO,4 Gb,M,WINDOWS 8 - 64 BIT
171,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
172,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
173,"I3 - 3,10 GHZ",H61M-S2V-B3,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
174,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
175,"I3 - 3,10 GHZ",H61M-S2V-B3,320 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
176,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
177,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
178,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
179,"I3 - 3,10 GHZ",H61M-S2V-B3,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
180,"I3 - 3,30 GHZ",P8H61-M LX3 R20,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
182,"I3 - 3,40 GHZ",H81H3-M4,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
183,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
184,"I3 - 3,30 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
185,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
186,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
187,"I3 - 3,30 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
189,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - 64 BIT
190,"2 DUO  2,93 GHZ",G41M-ES2L,80 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
192,"2 DUO  2,93 GHZ",G41M-ES2L,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
194,"2 QUAD  2,66 GHZ",DG41TY,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - 64 BIT
195,"I3 - 3,30 GHZ",P8H61-M LX3 R20,500 GB - MECANICO,2 Gb,B,WINDOWS 8.1 - 64 BIT
196,"I7 - 3,20 GHZ",H310M-H,240 GB - SOLIDO,4 Gb,EX,WINDOWS 10 - 64 BIT
197,"I3 - 3,10 GHZ",H61M-S2V-B3,500 GB - MECANICO,2 Gb,B,WINDOWS 10 - 64 BIT
198,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
199,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
200,"I3 - 3,10 GHZ",H61M-S2V-B3,240 GB - SOLIDO,2 Gb,B,WINDOWS 10 - LITE
201,"I3  - 3,90 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
203,"I3 - 3,40 GHZ",H81H3-M4,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
204,"2 QUAD  2,33 GHZ",P5KPL-CM,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
205,"I7 - 3,20 GHZ",H310M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
206,"I3 - 3,60 GHZ",H310CM-HDV,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
208,"I3  - 3,90 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
209,"PENTIUM 4  3,00 GHZ",P4M80P,120GB - MECANICO,1 Gb,M,WINDOWS 7 - 32 BIT
210,"PENTIUM 4  3,00 GHZ",P4M800CE-8237,120GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
211,"I3 - 3,60 GHZ",H310CM-HDV,250 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
212,"PENTIUM 4 2,00 GHZ",P4V533-MX,40 GB - MECANICO,512 Mb,M,WINDOWS XP PROFESSIONAL - x32
213,"PENTIUM 4  3,00 GHZ",P4M80P,120GB - MECANICO,1 Gb,M,WINDOWS 7 - 32 BIT
215,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
216,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
218,"PENTIUM 4  2,80 GHZ",P4M800CE-8237,80 GB - MECANICO,1 Gb,M,WINDOWS 7 - 32 BIT
219,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
220,"2 QUAD  2,33 GHZ",P5KPL-CM,300 GB - MECANICO,4 Gb,M,WINDOWS 10 - 64 BIT
221,"I5 - 2,90 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
222,"I3 - 3,60 GHZ",H310CM-HDV,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
223,"2 DUO  3,00 GHZ",P5KPL-CM,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
