0,1,2,3,4,5,6
184,15.0,21.0,11.0,3.0,0.0,2.0
185,28.0,12.0,0.0,5.0,1.0,1.0
186,18.0,25.0,11.0,3.0,0.0,2.0
187,15.0,21.0,11.0,3.0,0.0,5.0
189,10.0,44.0,7.0,2.0,0.0,1.0
190,3.0,10.0,13.0,2.0,2.0,2.0
192,3.0,10.0,7.0,2.0,2.0,2.0
194,6.0,6.0,7.0,2.0,2.0,1.0
195,15.0,39.0,11.0,2.0,0.0,7.0
196,26.0,17.0,5.0,3.0,1.0,1.0
197,14.0,22.0,11.0,2.0,0.0,1.0
198,10.0,44.0,7.0,2.0,0.0,2.0
199,10.0,44.0,7.0,2.0,0.0,2.0
200,14.0,22.0,5.0,2.0,0.0,2.0
201,9.0,12.0,7.0,3.0,0.0,7.0
203,16.0,23.0,7.0,3.0,0.0,2.0
204,5.0,35.0,7.0,2.0,2.0,2.0
205,26.0,17.0,7.0,3.0,0.0,1.0
206,17.0,16.0,5.0,3.0,0.0,1.0
208,9.0,12.0,7.0,3.0,0.0,2.0
209,31.0,30.0,3.0,0.0,2.0,4.0
210,31.0,29.0,3.0,2.0,2.0,2.0
211,17.0,16.0,6.0,3.0,0.0,1.0
212,32.0,31.0,9.0,4.0,2.0,8.0
213,31.0,30.0,3.0,0.0,2.0,4.0
215,28.0,12.0,0.0,5.0,1.0,1.0
216,10.0,44.0,7.0,2.0,0.0,2.0
218,30.0,29.0,13.0,0.0,2.0,4.0
219,18.0,25.0,11.0,3.0,0.0,2.0
220,5.0,35.0,7.0,3.0,2.0,1.0
221,21.0,46.0,5.0,3.0,0.0,1.0
222,17.0,16.0,5.0,3.0,0.0,1.0
223,4.0,35.0,7.0,2.0,2.0,2.0
224,17.0,2.0,11.0,3.0,0.0,2.0
225,18.0,25.0,11.0,3.0,0.0,2.0
226,31.0,29.0,1.0,2.0,2.0,2.0
227,14.0,21.0,11.0,2.0,0.0,2.0
228,17.0,16.0,7.0,3.0,0.0,2.0
229,16.0,23.0,0.0,3.0,0.0,5.0
230,10.0,44.0,7.0,3.0,0.0,1.0
232,18.0,25.0,11.0,3.0,0.0,1.0
233,23.0,25.0,7.0,3.0,0.0,7.0
234,5.0,11.0,3.0,2.0,2.0,2.0
235,22.0,13.0,8.0,3.0,0.0,1.0
237,10.0,44.0,5.0,2.0,0.0,2.0
238,31.0,25.0,11.0,3.0,2.0,0.0
239,18.0,25.0,11.0,3.0,0.0,0.0
240,16.0,23.0,0.0,3.0,0.0,0.0
241,5.0,35.0,8.0,2.0,2.0,0.0
242,5.0,35.0,8.0,2.0,2.0,0.0
243,5.0,35.0,8.0,2.0,2.0,0.0
244,18.0,25.0,11.0,3.0,0.0,0.0
245,5.0,35.0,8.0,2.0,2.0,0.0
246,10.0,44.0,8.0,2.0,0.0,0.0
247,5.0,35.0,0.0,2.0,2.0,0.0
248,10.0,44.0,11.0,3.0,2.0,0.0
249,18.0,25.0,11.0,3.0,0.0,0.0
250,10.0,44.0,8.0,2.0,0.0,0.0
251,4.0,4.0,8.0,0.0,2.0,0.0
252,28.0,12.0,0.0,5.0,1.0,1.0
253,28.0,12.0,0.0,5.0,1.0,1.0
254,34.0,27.0,4.0,2.0,2.0,2.0
255,18.0,25.0,11.0,3.0,0.0,0.0
256,5.0,35.0,8.0,2.0,2.0,0.0
257,5.0,35.0,8.0,2.0,2.0,0.0
258,5.0,35.0,8.0,2.0,2.0,0.0
259,28.0,12.0,0.0,5.0,1.0,1.0
260,2.0,4.0,7.0,2.0,2.0,2.0
261,5.0,35.0,8.0,2.0,2.0,0.0
262,10.0,44.0,8.0,2.0,0.0,0.0
263,10.0,44.0,8.0,2.0,0.0,0.0
264,18.0,25.0,11.0,3.0,0.0,0.0
265,10.0,44.0,8.0,2.0,0.0,0.0
266,18.0,25.0,11.0,3.0,0.0,0.0
267,10.0,44.0,8.0,2.0,0.0,0.0
268,18.0,25.0,11.0,3.0,0.0,0.0
269,10.0,44.0,8.0,2.0,0.0,0.0
270,10.0,44.0,8.0,2.0,0.0,0.0
271,18.0,25.0,11.0,3.0,0.0,7.0
272,26.0,17.0,8.0,3.0,0.0,1.0
274,22.0,12.0,7.0,3.0,0.0,1.0
277,10.0,25.0,11.0,3.0,0.0,7.0
278,22.0,41.0,0.0,5.0,1.0,1.0
279,22.0,41.0,0.0,5.0,1.0,7.0
280,28.0,12.0,0.0,5.0,1.0,1.0
281,18.0,25.0,11.0,3.0,0.0,0.0
282,28.0,15.0,0.0,3.0,0.0,1.0
283,10.0,44.0,8.0,2.0,0.0,0.0
284,5.0,35.0,0.0,2.0,2.0,0.0
285,28.0,12.0,0.0,3.0,0.0,1.0
286,9.0,13.0,5.0,3.0,0.0,1.0
288,3.0,10.0,7.0,2.0,2.0,2.0
289,5.0,35.0,7.0,2.0,2.0,2.0
290,16.0,21.0,11.0,3.0,0.0,4.0
291,15.0,21.0,5.0,3.0,0.0,2.0
292,26.0,17.0,7.0,3.0,0.0,2.0
293,10.0,44.0,7.0,3.0,0.0,2.0
294,21.0,18.0,5.0,3.0,0.0,1.0
295,21.0,18.0,5.0,3.0,0.0,1.0
297,26.0,17.0,0.0,5.0,1.0,1.0
298,28.0,13.0,0.0,5.0,1.0,1.0
299,21.0,46.0,5.0,3.0,0.0,1.0
300,21.0,46.0,5.0,3.0,0.0,1.0
301,19.0,26.0,0.0,3.0,0.0,7.0
302,18.0,25.0,11.0,3.0,0.0,0.0
303,5.0,35.0,8.0,2.0,2.0,0.0
304,5.0,35.0,11.0,2.0,2.0,0.0
305,10.0,44.0,8.0,2.0,0.0,0.0
306,27.0,1.0,5.0,5.0,1.0,1.0
307,27.0,1.0,5.0,5.0,1.0,1.0
308,27.0,1.0,5.0,5.0,1.0,1.0
309,22.0,13.0,0.0,5.0,1.0,1.0
310,28.0,12.0,5.0,5.0,1.0,1.0
311,28.0,12.0,5.0,5.0,1.0,1.0
312,17.0,2.0,11.0,3.0,0.0,5.0
313,28.0,13.0,0.0,5.0,1.0,1.0
314,10.0,44.0,7.0,2.0,0.0,2.0
315,4.0,7.0,8.0,2.0,2.0,2.0
317,27.0,1.0,5.0,5.0,1.0,1.0
320,28.0,13.0,5.0,5.0,1.0,1.0
323,28.0,12.0,2.0,5.0,1.0,1.0
324,27.0,1.0,5.0,5.0,1.0,1.0
325,7.0,8.0,8.0,2.0,0.0,5.0
326,33.0,36.0,13.0,2.0,2.0,4.0
327,1.0,34.0,6.0,0.0,2.0,4.0
328,33.0,37.0,13.0,0.0,2.0,4.0
329,29.0,21.0,11.0,3.0,0.0,4.0
331,17.0,45.0,5.0,3.0,0.0,1.0
332,22.0,12.0,0.0,5.0,1.0,7.0
333,11.0,43.0,11.0,3.0,0.0,1.0
334,20.0,0.0,5.0,3.0,0.0,3.0
335,25.0,20.0,10.0,5.0,1.0,1.0
336,25.0,20.0,10.0,5.0,1.0,1.0
337,25.0,20.0,10.0,5.0,1.0,1.0
338,25.0,20.0,10.0,5.0,1.0,1.0
339,25.0,20.0,10.0,5.0,1.0,1.0
340,25.0,20.0,10.0,5.0,1.0,1.0
341,25.0,20.0,10.0,5.0,1.0,1.0
342,25.0,20.0,10.0,5.0,1.0,1.0
343,25.0,20.0,10.0,5.0,1.0,1.0
344,25.0,20.0,10.0,5.0,1.0,1.0
345,6.0,6.0,3.0,0.0,2.0,2.0
348,22.0,39.0,12.0,3.0,0.0,1.0
349,1.0,33.0,8.0,2.0,2.0,1.0
350,4.0,4.0,7.0,2.0,2.0,1.0
351,13.0,44.0,11.0,2.0,0.0,1.0
352,10.0,44.0,11.0,2.0,0.0,1.0
353,21.0,42.0,5.0,5.0,1.0,1.0
354,21.0,42.0,5.0,5.0,1.0,1.0
355,21.0,42.0,5.0,5.0,1.0,1.0
356,21.0,42.0,5.0,5.0,1.0,1.0
358,21.0,42.0,5.0,5.0,1.0,1.0
359,17.0,45.0,5.0,3.0,1.0,1.0
360,21.0,42.0,5.0,5.0,1.0,1.0
361,25.0,20.0,10.0,5.0,1.0,1.0
362,21.0,42.0,5.0,5.0,1.0,1.0
363,21.0,42.0,5.0,5.0,1.0,1.0
364,21.0,42.0,5.0,5.0,1.0,1.0
365,9.0,12.0,5.0,3.0,0.0,1.0
366,18.0,25.0,11.0,3.0,0.0,1.0
367,27.0,1.0,5.0,5.0,1.0,1.0
372,10.0,44.0,5.0,2.0,0.0,1.0
392,25.0,20.0,5.0,5.0,1.0,0.0
393,10.0,44.0,5.0,2.0,3.0,1.0
407,10.0,44.0,5.0,3.0,0.0,1.0
416,35.0,40.0,5.0,1.0,1.0,1.0
